loc_rowid,pl_hostname,pl_letter,pl_name,pl_discmethod,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_orbincl,pl_orbinclerr1,pl_orbinclerr2,pl_orbincllim,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassjlim,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,ra_str,ra,dec_str,dec,st_dist,st_disterr1,st_disterr2,st_distlim,st_optmag,st_optmagerr,st_optmaglim,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_mass,st_masserr1,st_masserr2,st_masslim,st_rad,st_raderr1,st_raderr2,st_radlim,rowupdate,pl_eqt,pl_eqterr1,pl_eqterr2,pl_eqtlim,pl_disc,st_glon,st_glat,st_radv,st_radverr1,st_radverr2,st_radvlim
1,11 Com,b,11 Com b,Radial Velocity,326.03000000,0.32000000,-0.32000000,0,1.290000,0.050000,-0.050000,0,0.231000,0.005000,-0.005000,0,,,,,19.40000,1.50000,-1.50000,0,,,,,12h20m43.03s,185.179276,+17d47m34.3s,17.792868,93.37,1.92,-1.92,0,4.740,,0,4742.00,100.00,-100.00,0,2.70,0.30,-0.30,0,19.00,2.00,-2.00,0,2014-05-14,,,,,2007,264.140892,78.280522,43.37,0.21,-0.21,0
2,11 UMi,b,11 UMi b,Radial Velocity,516.21997000,3.20000000,-3.20000000,0,1.530000,0.070000,-0.070000,0,0.080000,0.030000,-0.030000,0,,,,0,14.74000,2.50000,-2.50000,0,,,,0,15h17m05.89s,229.274536,+71d49m26.0s,71.823898,125.72,1.97,-1.97,0,5.016,0.009,0,4213.00,46.00,-46.00,0,2.78,0.69,-0.69,0,29.79,2.84,-2.84,0,2018-09-06,,,,0,2009,108.718982,41.044516,-17.52,0.15,-0.15,0
3,14 And,b,14 And b,Radial Velocity,185.84000000,0.23000000,-0.23000000,0,0.830000,,,0,0.000000,,,0,,,,,4.80000,,,0,,,,,23h31m17.42s,352.822571,+39d14m10.3s,39.236198,75.59,0.71,-0.71,0,5.227,0.009,0,4813.00,20.00,-20.00,0,2.20,0.10,-0.20,0,11.00,1.00,-1.00,0,2014-05-14,,,,,2008,106.411558,-21.050610,-59.73,0.31,-0.31,0
4,14 Her,b,14 Her b,Radial Velocity,1773.40002000,2.50000000,-2.50000000,0,2.930000,0.080000,-0.080000,0,0.370000,0.000000,0.000000,0,,,,0,4.66000,0.15000,-0.15000,0,,,,0,16h10m24.31s,242.601303,+43d49m03.5s,43.817646,17.94,0.01,-0.01,0,6.610,0.020,0,5338.00,25.00,-25.00,0,0.90,0.04,-0.04,0,0.93,0.01,-0.01,0,2018-09-06,,,,0,2002,69.170376,46.944999,,,,
5,16 Cyg B,b,16 Cyg B b,Radial Velocity,798.50000000,1.00000000,-1.00000000,0,1.660000,0.030000,-0.030000,0,0.680000,0.020000,-0.020000,0,,,,0,1.78000,0.08000,-0.08000,0,,,,0,19h41m51.97s,295.466553,+50d31m03.1s,50.517525,21.41,0.23,-0.23,0,6.250,,0,5750.00,8.00,-8.00,0,1.08,0.04,-0.04,0,1.13,0.01,-0.01,0,2018-09-06,,,,0,1996,83.336460,13.204352,-28.10,0.10,-0.10,0
6,18 Del,b,18 Del b,Radial Velocity,993.30000000,3.20000000,-3.20000000,0,2.600000,,,0,0.080000,0.010000,-0.010000,0,,,,,10.30000,,,0,,,,,20h58m25.94s,314.608063,+10d50m21.4s,10.839286,76.38,0.62,-0.62,0,5.506,0.009,0,4979.00,18.00,-18.00,0,2.30,,,0,8.50,,,0,2014-05-14,,,,,2008,58.691434,-21.974824,4.35,0.15,-0.15,0
7,1RXS J160929.1-210524,b,1RXS J160929.1-210524 b,Imaging,,,,,330.000000,,,0,,,,,,,,,8.00000,1.00000,-1.00000,0,,,,,16h09m30.30s,242.376268,-21d04m58.9s,-21.083036,145.00,14.00,-14.00,0,,,,4060.00,300.00,-200.00,0,0.85,0.20,-0.10,0,,,,,2015-04-01,1700,100,-100,0,2008,352.890560,22.030427,,,,
8,24 Boo,b,24 Boo b,Radial Velocity,30.35060000,0.00780000,-0.00770000,0,0.190000,0.012000,-0.009000,0,0.042000,0.048000,-0.029000,0,,,,0,0.91000,0.13000,-0.10000,0,,,,0,14h28m37.81s,217.157547,+49d50m41.5s,49.844852,96.25,0.64,-0.64,0,5.580,,0,4893.00,15.00,-15.00,0,0.99,0.19,-0.13,0,10.64,0.84,-0.59,0,2018-04-26,,,,0,2018,90.162223,60.643666,-7.77,0.15,-0.15,0
9,24 Sex,b,24 Sex b,Radial Velocity,452.80000000,2.10000000,-4.50000000,0,1.333000,0.004000,-0.009000,0,0.090000,0.140000,-0.060000,0,,,,,1.99000,0.26000,-0.38000,0,,,,,10h23m28.37s,155.868210,-00d54m08.1s,-0.902244,72.21,0.68,-0.68,0,6.441,0.010,0,5098.00,44.00,-44.00,0,1.54,0.08,-0.08,0,4.90,0.08,-0.08,0,2014-05-14,,,,,2010,245.085309,44.715734,7.29,0.18,-0.18,0
10,24 Sex,c,24 Sex c,Radial Velocity,883.00000000,32.40000000,-13.80000000,0,2.080000,0.050000,-0.020000,0,0.290000,0.160000,-0.090000,0,,,,,0.86000,0.35000,-0.22000,0,,,,,10h23m28.37s,155.868210,-00d54m08.1s,-0.902244,72.21,0.68,-0.68,0,6.441,0.010,0,5098.00,44.00,-44.00,0,1.54,0.08,-0.08,0,4.90,0.08,-0.08,0,2014-05-14,,,,,2010,245.085309,44.715734,7.29,0.18,-0.18,0
11,2MASS J01225093-2439505,b,2MASS J01225093-2439505 b,Imaging,,,,,52.000000,6.000000,-6.000000,0,,,,,,,,,24.50000,2.50000,-2.50000,0,,,,,01h22m50.94s,20.712243,-24d39m50.6s,-24.664049,36.00,4.00,-4.00,0,14.240,0.070,0,3530.00,50.00,-50.00,0,0.40,0.05,-0.05,0,,,,,2014-05-14,,,,,2013,195.448768,-82.520165,9.60,0.70,-0.70,0
12,2MASS J02192210-3925225,b,2MASS J02192210-3925225 b,Imaging,,,,,156.000000,10.000000,-10.000000,0,,,,,,,,,13.90000,1.10000,-1.10000,0,1.440,0.030,-0.030,0,02h19m22.11s,34.842106,-39d25m22.5s,-39.422928,39.40,2.60,-2.60,0,,,,3064.00,76.00,-76.00,0,0.11,0.01,-0.01,0,0.28,0.01,-0.01,0,2015-05-14,,,,,2015,252.453768,-67.984453,10.60,0.70,-0.70,0
13,2MASS J04414489+2301513,b,2MASS J04414489+2301513 b,Imaging,,,,,15.000000,,,0,,,,,,,,,7.50000,2.50000,-2.50000,0,,,,,04h41m44.90s,70.437073,+23d01m51.4s,23.030941,140.00,,,0,,,,,,,,0.02,,,0,,,,,2014-05-14,,,,,2010,176.510593,-15.114249,,,,
14,2MASS J12073346-3932539,b,2MASS J12073346-3932539 b,Imaging,,,,,46.000000,5.000000,-5.000000,0,,,,,,,,,4.00000,1.00000,-1.00000,0,,,,,12h07m33.47s,181.889447,-39d32m54.0s,-39.548332,52.40,1.10,-1.10,0,20.150,0.190,0,,,,,0.02,,,0,,,,,2014-05-14,1150,150,-150,0,2004,293.790363,22.543297,,,,
15,2MASS J19383260+4603591,b,2MASS J19383260+4603591 b,Eclipse Timing Variations,416.00000000,2.00000000,-2.00000000,0,0.920000,0.020000,-0.020000,0,,,,,,,,,1.90000,0.10000,-0.10000,0,,,,,19h38m32.61s,294.635865,+46d03m59.1s,46.066418,396.36,6.38,-6.20,0,12.264,,0,,,,,0.48,0.03,-0.03,0,,,,,2015-06-04,,,,,2015,79.018713,11.674389,,,,
16,2MASS J21402931+1625183 A,b,2MASS J21402931+1625183 A b,Imaging,7336.50000000,1934.50000000,-584.00000000,0,,,,,0.260000,0.060000,-0.060000,0,46.200,2.500,-8.700,0,20.95000,83.79000,-20.95000,0,0.920,0.390,-0.360,0,21h40m29.32s,325.122159,+16d25m18.3s,16.421759,25.00,10.00,-10.00,0,,,,2300.00,80.00,-80.00,0,0.08,0.06,-0.06,0,0.12,0.05,-0.04,0,2014-05-14,2075,70,-70,0,2009,70.485103,-26.437255,13.00,0.20,-0.20,0
17,2MASS J22362452+4751425,b,2MASS J22362452+4751425 b,Imaging,,,,,230.000000,20.000000,-20.000000,0,,,,,,,,,12.50000,1.50000,-1.50000,0,,,,,22h36m24.53s,339.102203,+47d51m42.6s,47.861820,74.00,10.00,-10.00,0,12.510,0.030,0,4045.00,35.00,-35.00,0,0.60,0.05,-0.05,0,,,,,2016-11-10,,,,,2016,100.748288,-9.108906,-21.50,0.20,-0.20,0
18,30 Ari B,b,30 Ari B b,Radial Velocity,335.10001000,2.50000000,-2.50000000,0,0.990000,0.020000,-0.020000,0,0.290000,0.090000,-0.090000,0,,,,0,13.82000,1.80000,-1.80000,0,,,,0,02h36m57.74s,39.240585,+24d38m53.0s,24.648064,44.71,0.10,-0.10,0,6.962,0.011,0,6331.00,61.00,-61.00,0,1.93,0.27,-0.27,0,1.41,0.05,-0.05,0,2018-09-06,,,,0,2009,151.476148,-32.309491,17.20,1.80,-1.80,0
19,4 UMa,b,4 UMa b,Radial Velocity,269.30000000,1.96000000,-1.96000000,0,0.870000,0.040000,-0.040000,0,0.432000,0.024000,-0.024000,0,,,,,7.10000,1.60000,-1.60000,0,,,,,08h40m12.82s,130.053406,+64d19m40.6s,64.327934,73.58,1.18,-1.18,0,4.610,,0,4415.00,70.00,-70.00,0,1.23,0.15,-0.15,0,18.11,1.47,-1.47,0,2014-05-14,,,,,2006,151.358914,35.956900,14.62,0.14,-0.14,0
20,42 Dra,b,42 Dra b,Radial Velocity,479.10000000,6.20000000,-6.20000000,0,1.190000,0.010000,-0.010000,0,0.380000,0.060000,-0.060000,0,,,,,3.88000,0.85000,-0.85000,0,,,,,18h25m59.14s,276.496399,+65d33m48.5s,65.563484,90.86,1.32,-1.32,0,4.820,,0,4200.00,70.00,-70.00,0,0.98,0.05,-0.05,0,22.03,1.00,-1.00,0,2014-05-14,,,,,2008,95.419171,27.125611,31.79,0.32,-0.32,0
21,47 UMa,b,47 UMa b,Radial Velocity,1078.00000000,2.00000000,-2.00000000,0,2.100000,0.020000,-0.020000,0,0.032000,0.014000,-0.014000,0,,,,,2.53000,0.07000,-0.06000,0,,,,,10h59m27.97s,164.866562,+40d25m48.9s,40.430256,13.80,0.03,-0.03,0,5.050,,0,5892.00,70.00,-70.00,0,1.03,0.05,-0.05,0,1.23,,,0,2014-05-14,,,,,1996,175.782531,63.369127,11.10,0.10,-0.10,0
22,47 UMa,c,47 UMa c,Radial Velocity,2391.00000000,100.00000000,-87.00000000,0,3.600000,0.100000,-0.100000,0,0.098000,0.047000,-0.096000,0,,,,,0.54000,0.06600,-0.07300,0,,,,,10h59m27.97s,164.866562,+40d25m48.9s,40.430256,13.80,0.03,-0.03,0,5.050,,0,5892.00,70.00,-70.00,0,1.03,0.05,-0.05,0,1.23,,,0,2014-05-14,,,,,2001,175.782531,63.369127,11.10,0.10,-0.10,0
23,47 UMa,d,47 UMa d,Radial Velocity,14002.00000000,4018.00000000,-5095.00000000,0,11.600000,2.100000,-2.900000,0,0.160000,0.090000,-0.160000,0,,,,,1.64000,0.29000,-0.48000,0,,,,,10h59m27.97s,164.866562,+40d25m48.9s,40.430256,13.80,0.03,-0.03,0,5.050,,0,5892.00,70.00,-70.00,0,1.03,0.05,-0.05,0,1.23,,,0,2014-05-14,,,,,2009,175.782531,63.369127,11.10,0.10,-0.10,0
24,51 Eri,b,51 Eri b,Imaging,,,,0,13.200000,0.200000,-0.200000,0,,,,,,,,,2.00000,,,0,,,,,04h37m36.13s,69.400551,-02d28m24.8s,-2.473548,29.40,0.30,-0.30,0,5.230,,0,,,,,1.75,0.05,-0.05,0,,,,,2015-08-14,700,,,0,2015,198.612620,-30.657612,17.30,3.00,-3.00,0
25,51 Peg,b,51 Peg b,Radial Velocity,4.23078500,0.00003600,-0.00003600,0,0.052700,0.003000,-0.003000,0,0.013000,0.012000,-0.012000,0,,,,,0.47200,0.03900,-0.03900,0,,,,,22h57m27.98s,344.366577,+20d46m07.8s,20.768833,15.47,0.03,-0.03,0,5.500,,0,5793.00,70.00,-70.00,0,1.12,0.06,-0.06,0,1.20,,,0,2014-05-14,,,,,1995,90.062611,-34.727214,-33.25,0.00,0.00,0
26,55 Cnc,b,55 Cnc b,Radial Velocity,14.65152000,0.00015000,-0.00015000,0,0.115227,0.000001,-0.000001,0,0.003400,0.003200,-0.003200,0,90.000,,,0,0.83060,0.00330,-0.00330,0,,,,,08h52m35.81s,133.149216,+28d19m50.9s,28.330818,12.59,0.01,-0.01,0,5.960,0.010,0,5196.00,24.00,-24.00,0,0.91,0.01,-0.01,0,0.94,0.01,-0.01,0,2014-10-29,,,,,1996,196.794709,37.698968,27.40,,,0
